country,No_of_members,Overrepresented,Continent,Region
Albania,1,no,Rest of Europe,Rest of Europe
Antigua,1,no,Rest of Europe,Rest of Europe
Argentina,3,no,Rest of America,Rest of America
Australia,46,yes,Australia,Australia
Bahamas,1,no,Rest of America,Caribbean
Bangladesh,4,no,Asia,Asia
Belgium,3,no,Rest of Europe,Rest of Europe
Belize,2,no,Rest of America,Rest of America
Brazil,11,no,Rest of America,Rest of America
Canada,115,yes,Canada,Canada
Cameroon,1,no,Africa,Africa
Chile,2,no,Rest of America,Rest of America
Colombia,4,no,Rest of America,Rest of America
Cuba,1,no,Rest of America,Caribbean
Dominican_Republic,4,no,Rest of America,Caribbean
Ecuador,2,no,Rest of America,Rest of America
Egypt,1,no,Africa,Africa
Fiji,4,no,Rest of Oceania,Rest of Oceania
France,3,no,Rest of Europe,Rest of Europe
Gabon,1,no,Africa,Africa
Germany,7,no,Rest of Europe,Rest of Europe
Greece,1,no,Rest of Europe,Rest of Europe
Grenada,1,no,Rest of America,Caribbean
Guatemala,2,no,Rest of America,Rest of America
Haiti,2,no,Rest of America,Caribbean
Hong_Kong,1,no,Asia,Asia
Hungary,1,no,Rest of Europe,Rest of Europe
India,5,no,Asia,Asia
Indonesia,11,no,Asia,Asia
Israel,1,no,Asia,Middle East
Italy,4,no,Rest of Europe,Rest of Europe
Japan,2,no,Asia,Asia
Kenya,5,no,Africa,Africa
Madagascar,2,no,Africa,Africa
Malaysia,4,no,Asia,Asia
Maldives,1,no,Asia,Indian Ocean
Mauritus,2,no,Asia,Indian Ocean
Mexico,20,no,Rest of America,Rest of America
Mozambique,1,no,Africa,Africa
Netherlands,1,no,Rest of Europe,Rest of Europe
New_Zealand,12,no,Rest of Oceania,Rest of Oceania
Nigeria,3,no,Africa,Africa
Panama,1,no,Rest of America,Rest of America
Peru,9,no,Rest of America,Rest of America
Phillipines,13,no,Asia,Asia
Portugal,1,no,Rest of Europe,Rest of Europe
Puerto_Rico,1,no,Rest of America,Caribbean
Russian_Federation,1,no,Rest of Europe,Rest of Europe
Senegal,1,no,Africa,Africa
Seychelles,1,no,Asia,Indian Ocean
Singapore,3,no,Asia,Asia
South_Africa,23,no,Africa,Africa
Spain,2,no,Rest of Europe,Rest of Europe
Sri_Lanka,2,no,Asia,Asia
Sweden,3,no,Rest of Europe,Rest of Europe
Switzerland,1,no,Rest of Europe,Rest of Europe
Taiwan,1,no,Asia,Asia
Tanzania,3,no,Africa,Africa
Thailand,5,no,Asia,Asia
Turkey,2,no,Rest of Europe,Rest of Europe
Turks_and_Caicos,1,no,Rest of America,Caribbean
Uganda,3,no,Africa,Africa
Ukraine,1,no,Rest of Europe,Rest of Europe
United Kingdom,46,yes,United Kingdom,United Kingdom
United States of America,389,yes,United States of America,United States of America
Uruguay,2,no,Rest of America,Rest of America
Venezuela,2,no,Rest of America,Rest of America
Vietnam,1,no,Asia,Asia
Unspecified,2,no,Unspecified,Unspecified
